nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,equipaje,asiento,fecha,precio_final,pago
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,LATAM,EZE,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-11-16,567,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,"SKY Airline",EZE,LIM,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-16,605,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,EZE,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-16,763,"tarjeta debito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,GOL,EZE,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-16,888,"tarjeta debito"
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,LATAM,GRU,LIM,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-13,918,"tarjeta debito"
Gamaliel,"Streather Bruggen",gbruggena@jalbum.net,LATAM,BOG,LIM,"3 escalas",basico,Aleatorio,2022-11-13,847,"tarjeta debito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,GOL,BOG,LIM,"3 escalas",basico,Aleatorio,2022-11-13,638,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,JetSmart,BOG,GRU,"2 escalas",posterior+mano,Posterior,2022-11-13,712,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,LATAM,BOG,BOG,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-13,512,"tarjeta de credito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,LATAM,BOG,VVI,"2 escalas",basico+carry_on,Aleatorio,2022-11-13,751,"tarjeta de credito"
Manda,"Crumbie Paudin",mpaudinq@imdb.com,LATAM,BOG,VVI,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-13,772,"tarjeta de credito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,GOL,BOG,UIO,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-13,617,"tarjeta de credito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,LATAM,BOG,GRU,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-13,816,"tarjeta de credito"
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,"SKY Airline",BOG,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-11-13,604,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,LATAM,BOG,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-11-13,839,paypal
Andres,"Quintero Roca",andres_69@gmail.com,JetSmart,BOG,SCL,"sin escalas",posterior+mano,Posterior,2022-11-13,578,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,LATAM,LIM,EZE,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-13,532,paypal
Bethany,"Brixey Basford",bbasford0@nyu.edu,"SKY Airline",LIM,UIO,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-13,907,"tarjeta de credito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,JetSmart,LIM,GRU,"3 escalas",posterior+mano,Posterior,2022-11-13,770,"tarjeta de credito"
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,LATAM,LIM,SCL,"3 escalas",basico,Aleatorio,2022-11-13,512,"tarjeta debito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,"SKY Airline",LIM,BOG,"2 escalas",posterior+mano,Posterior,2022-11-13,852,"tarjeta de credito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,Easyfly,LIM,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-13,620,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,Easyfly,LIM,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-13,937,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,LIM,UIO,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-13,722,"tarjeta de credito"
Gamaliel,"Streather Bruggen",gbruggena@jalbum.net,"SKY Airline",LIM,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-13,702,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,Easyfly,LIM,BOG,"sin escalas",basico,Aleatorio,2022-11-13,553,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,JetSmart,SCL,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-11-13,640,"tarjeta debito"
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,GOL,SCL,SCL,"2 escalas",posterior+mano,Posterior,2022-11-13,613,"tarjeta debito"
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,LATAM,SCL,UIO,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-13,574,"tarjeta de credito"
Jerry,"Duffitt Covill",jcovillh@etsy.com,Easyfly,SCL,VVI,"sin escalas",posterior+mano,Posterior,2022-11-13,847,"tarjeta debito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,LATAM,VVI,LIM,"2 escalas",basico,Aleatorio,2022-11-13,586,paypal
Manda,"Crumbie Paudin",mpaudinq@imdb.com,LATAM,VVI,VVI,"1 escala",basico,Aleatorio,2022-11-13,662,"tarjeta debito"
Malynda,"Gallety Trump",mtrump7@live.com,GOL,VVI,BOG,"1 escala",posterior+mano,Posterior,2022-11-13,845,paypal
Lindsay,"Molden Domico",ldomico3@indiegogo.com,JetSmart,UIO,LIM,"3 escalas",basico,Aleatorio,2022-11-13,766,paypal
Hortensia,"Breache Isham",hisham1m@t.co,"SKY Airline",UIO,LIM,"3 escalas",basico+carry_on,Aleatorio,2022-11-13,636,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,LATAM,UIO,VVI,"3 escalas",posterior+mano,Posterior,2022-11-13,534,"tarjeta de credito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,JetSmart,UIO,BOG,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-13,908,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,LATAM,UIO,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-13,588,"tarjeta debito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,LATAM,UIO,GRU,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-13,874,"tarjeta debito"
Cris,"Channer Deabill",cdeabillk@geocities.com,JetSmart,UIO,LIM,"sin escalas",basico+carry_on,Aleatorio,2022-11-13,512,"tarjeta debito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,LATAM,EZE,BOG,"3 escalas",basico+carry_on,Aleatorio,2022-11-13,593,"tarjeta debito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,"SKY Airline",EZE,VVI,"3 escalas",basico,Aleatorio,2022-11-13,626,"tarjeta debito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,JetSmart,EZE,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-13,693,"tarjeta de credito"
Luce,"Packman Largen",llargen11@jimdo.com,GOL,EZE,SCL,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-13,718,"tarjeta de credito"
Luce,"Packman Largen",llargen11@jimdo.com,"SKY Airline",EZE,VVI,"sin escalas",posterior+mano,Posterior,2022-11-13,666,"tarjeta debito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,GOL,EZE,UIO,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-13,805,"tarjeta de credito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,GOL,GRU,BOG,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-04,775,"tarjeta de credito"
Dimitri,"Guille Arter",darteri@europa.eu,GOL,GRU,VVI,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-04,804,"tarjeta debito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,GOL,GRU,SCL,"1 escala",basico,Aleatorio,2022-11-04,624,"tarjeta debito"
Andres,"Quintero Roca",andres_69@gmail.com,LATAM,BOG,UIO,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-04,619,"tarjeta debito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,"SKY Airline",BOG,BOG,"1 escala",basico,Aleatorio,2022-11-04,633,"tarjeta de credito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,Easyfly,BOG,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-11-04,674,"tarjeta debito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,"SKY Airline",LIM,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-04,610,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,Easyfly,LIM,LIM,"2 escalas",posterior+mano,Posterior,2022-11-04,763,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,LATAM,LIM,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-11-04,645,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,JetSmart,LIM,BOG,"sin escalas",posterior+mano,Posterior,2022-11-04,552,"tarjeta de credito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,GOL,LIM,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-04,574,paypal
Bentley,"Allden Bushrod",bbushrody@woothemes.com,"SKY Airline",SCL,LIM,"2 escalas",posterior+mano,Posterior,2022-11-04,615,"tarjeta de credito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,GOL,SCL,UIO,"1 escala",posterior+mano,Posterior,2022-11-04,661,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,Easyfly,SCL,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-11-04,610,paypal
Ardelis,"Joost Jelf",ajelf8@prlog.org,JetSmart,VVI,VVI,"2 escalas",basico+carry_on,Aleatorio,2022-11-04,579,"tarjeta de credito"
Josiah,"Buckam Bedder",jbedderg@php.net,"SKY Airline",VVI,BOG,"2 escalas",basico+carry_on,Aleatorio,2022-11-04,753,"tarjeta debito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,LATAM,VVI,SCL,"1 escala",basico,Aleatorio,2022-11-04,623,paypal
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,GOL,VVI,VVI,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-04,622,"tarjeta debito"
Dedie,"Trahar McJury",dmcjuryu@umich.edu,"SKY Airline",UIO,LIM,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-04,654,"tarjeta debito"
Cris,"Channer Deabill",cdeabillk@geocities.com,LATAM,UIO,LIM,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-04,677,"tarjeta de credito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,GOL,EZE,GRU,"3 escalas",posterior+mano,Posterior,2022-11-04,666,"tarjeta de credito"
Elizabet,"Hackwell Hyatt",ehyatt14@diigo.com,"SKY Airline",EZE,BOG,"3 escalas",posterior+mano,Posterior,2022-11-04,666,"tarjeta debito"
Josiah,"Buckam Bedder",jbedderg@php.net,GOL,EZE,BOG,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-04,822,paypal
Camila,"Alvarez Cueva",camila_24@hotmail.com,Easyfly,EZE,GRU,"1 escala",basico+carry_on,Aleatorio,2022-11-04,740,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,"SKY Airline",EZE,LIM,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-04,872,"tarjeta de credito"
Luce,"Packman Largen",llargen11@jimdo.com,LATAM,EZE,SCL,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-04,639,paypal
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,GOL,EZE,EZE,"sin escalas",basico+carry_on,Aleatorio,2022-11-04,612,"tarjeta de credito"
